No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4
246.0,0.1,9.9,27.6,0.34,283.3,0.306,32.0,13,-,-,-,0.104,-,-,-
247.0,0.1,9.9,27.6,0.55,1375.0,1.422,32.0,13,-,-,-,0.768,-,-,-
248.0,0.1,9.9,27.6,1.07,2749.0,2.417,32.0,13,-,-,-,1.547,-,-,-
249.0,0.1,9.9,27.6,1.08,5509.0,4.482,32.0,13,-,-,-,3.316,-,-,-
250.0,0.11,9.8,27.6,0.1,272.7,0.367,32.0,15,-,-,-,0.136,-,-,-
251.0,0.11,9.8,27.6,0.67,1380.0,1.297,32.0,15,-,-,-,0.843,-,-,-
252.0,0.11,9.8,27.6,0.78,2760.0,3.232,32.0,15,-,-,-,2.23,-,-,-
253.0,0.11,9.8,27.6,2.08,5512.0,4.233,32.0,15,-,-,-,3.386,-,-,-
254.0,0.11,15.5,27.6,0.42,275.6,0.464,32.0,15,-,-,-,0.223,-,-,-
255.0,0.11,15.5,27.6,1.34,1378.0,1.532,32.0,15,-,-,-,0.812,-,-,-
256.0,0.11,15.5,27.6,1.56,2756.0,2.845,32.0,15,-,-,-,1.821,-,-,-
257.0,0.11,15.5,27.6,1.9,4134.0,4.37,32.0,15,-,-,-,3.015,-,-,-
258.0,0.11,15.5,27.6,2.09,5512.0,55.263,32.0,15,-,-,-,3.813,-,-,-
259.0,0.14,27.2,10.0,0.65,1020.0,2.088,37.0,,,,,,,,
260.0,0.14,16.3,10.0,0.67,4130.0,3.886,37.0,,,,,,,,
261.0,0.14,15.0,10.0,0.67,2090.0,2.257,37.0,,,,,,,,
262.0,0.14,12.9,184.0,0.48,1900.0,3.4,36.0,,,,,,,,
263.0,0.14,7.4,184.0,0.2,3520.0,4.0,36.0,,,,,,,,
264.0,0.14,6.7,184.0,0.31,3570.0,3.9,36.0,,,,,,,,
265.0,0.14,8.6,184.0,0.35,3520.0,4.3,36.0,,,,,,,,
266.0,0.14,1.8,184.0,0.31,4080.0,3.3,36.0,,,,,,,,
267.0,0.14,9.4,184.0,0.35,2600.0,3.5,36.0,,,,,,,,
268.0,0.14,13.0,87.0,0.28,870.0,1.707,36.0,,,,,,,,
269.0,0.14,20.5,25.0,0.5,1070.0,2.2,36.0,,,,,,,,
270.0,0.14,19.7,25.0,0.52,1070.0,2.1,36.0,,,,,,,,
271.0,0.14,24.1,25.0,0.53,3720.0,5.5,36.0,,,,,,,,
272.0,0.14,25.7,25.0,0.31,2450.0,4.6,36.0,,,,,,,,
273.0,0.14,24.4,25.0,0.24,3110.0,5.0,36.0,,,,,,,,
274.0,0.14,20.2,25.0,0.37,1020.0,2.1,36.0,,,,,,,,
275.0,0.14,23.9,25.0,0.74,3110.0,4.9,36.0,,,,,,,,
276.0,0.14,18.1,173.0,0.38,2300.0,5.7,34.0,,,,,,,,
277.0,0.14,17.9,173.0,0.65,2300.0,5.6,34.0,,,,,,,,
278.0,0.14,16.6,173.0,0.45,2190.0,4.8,34.0,,,,,,,,
279.0,0.14,14.2,173.0,0.62,1120.0,2.4,34.0,,,,,,,,
280.0,0.14,15.9,173.0,0.38,1120.0,2.9,34.0,,,,,,,,
281.0,0.14,15.6,173.0,0.23,1120.0,2.8,34.0,,,,,,,,
282.0,0.14,16.2,173.0,0.56,1120.0,3.0,34.0,,,,,,,,
283.0,0.14,3.3,184.0,0.3,2650.0,2.4,34.0,,,,,,,,
284.0,0.14,11.7,87.0,0.27,1.73,2.655,37.0,,,,,,,,
285.0,0.14,16.6,87.0,0.5,0.87,2.417,37.0,,,,,,,,
286.0,0.14,13.5,87.0,0.88,3.78,5.477,37.0,,,,,,,,
287.0,0.14,9.2,87.0,0.29,2.6,3.214,37.0,,,,,,,,
288.0,0.14,9.0,87.0,0.44,2.6,3.179,37.0,,,,,,,,
289.0,0.14,14.8,87.0,0.44,3.78,5.856,37.0,,,,,,,,
290.0,0.14,15.0,87.0,0.39,383.0,5.976,37.0,,,,,,,,
291.0,0.14,14.3,87.0,0.42,2.6,4.293,37.0,,,,,,,,
292.0,0.14,13.7,87.0,0.27,0.87,1.816,37.0,,,,,,,,
293.0,0.14,16.3,87.0,0.55,1.79,3.752,37.0,,,,,,,,
294.0,0.16,11.0,0.92,2.45,0.04,0.023,36.0,,,,,,,,
295.0,0.16,13.0,0.92,1.2,0.03,0.0307,36.0,,,,,,,,
296.0,0.16,13.0,0.92,2.0,0.07,0.131,36.0,,,,,,,,
297.0,0.16,11.0,0.92,1.8,0.02,0.046,36.0,,,,,,,,
298.0,0.05,18.5,2.0,0.7,24.5,0.059,32.0,,,,,,,,
299.0,0.1,15.0,1.419,0.8,24.5,0.04,32.0,,,,,,,,
300.0,0.2,12.2,1.007,1.1,24.5,0.031,32.0,,,,,,,,
301.0,0.4,9.9,0.715,1.7,24.5,0.026,32.0,,,,,,,,
302.0,0.06,17.5,2000.0,0.75,0.0245,0.055,32.0,,,,,,,,
303.0,0.12,14.2,1404.4,0.91,0.0245,0.041,32.0,,,,,,,,
304.0,0.18,12.6,1142.1,1.87,0.0245,0.046,32.0,,,,,,,,
305.0,0.36,10.2,802.0,2.17,0.0245,0.042,32.0,,,,,,,,
306.0,0.1,0.0,8.5,0.33,300.0,0.184,35.0,,,,,,,,
307.0,0.1,0.0,8.5,0.65,500.0,0.308,35.0,,,,,,,,
308.0,0.1,0.0,8.5,1.96,1000.0,0.777,35.0,,,,,,,,
308.0,0.1,0.0,8.5,2.71,1500.0,303.0,35.0,,,,,,,,
310.0,0.14,0.0,11.2,1.25,0.49,0.229,39.0,,,,,,,,
311.0,0.14,0.0,11.2,1.45,0.98,1.14,39.0,,,,,,,,
312.0,0.14,0.0,11.2,1.55,1.46,0.77,39.0,,,,,,,,
313.0,0.14,0.0,11.2,1.55,1.95,0.57,39.0,,,,,,,,
314.0,0.14,0.0,11.2,1.8,2.93,3.8,39.0,,,,,,,,
315.0,0.13,0.0,11.2,0.25,0.48,0.233,33.0,,,,,,,,
316.0,0.13,0.0,11.2,1.1,0.91,1.23,33.0,,,,,,,,
317.0,0.13,0.0,11.2,0.75,1.19,0.94,33.0,,,,,,,,
318.0,0.13,0.0,11.2,0.9,1.8,0.62,33.0,,,,,,,,
319.0,0.13,0.0,11.2,1.2,2.6,0.43,33.0,,,,,,,,
320.0,0.13,0.0,11.2,1.3,3.05,3.7,33.0,,,,,,,,
321.0,0.15,20.0,14.7,1.5,0.5,2.94,48.0,,,,,,,,
322.0,0.15,20.0,14.7,1.7,1.0,1.47,48.0,,,,,,,,
323.0,0.15,20.0,14.7,1.7,2.0,7.35,48.0,,,,,,,,
324.0,0.15,20.0,14.7,2.2,4.0,3.675,48.0,,,,,,,,
325.0,0.15,20.0,14.7,2.4,6.0,2.45,48.0,,,,,,,,
326.0,0.3,0.0,30.0,0.05,0.035,0.021,30.0,,,,,,,,
327.0,0.3,0.0,30.0,0.1,0.138,0.08,30.0,,,,,,,,
328.0,0.3,0.0,30.0,0.75,0.345,0.199,30.0,,,,,,,,
329.0,0.3,2.0,30.0,1.2,0.035,0.024,30.0,,,,,,,,
330.0,0.3,3.0,30.0,1.1,0.035,0.025,30.0,,,,,,,,
331.0,0.3,2.0,30.0,1.25,0.069,0.047,30.0,,,,,,,,
332.0,0.3,3.0,30.0,1.2,0.069,0.05,30.0,,,,,,,,
333.0,0.3,2.0,30.0,1.6,0.138,0.093,30.0,,,,,,,,
334.0,0.3,3.0,30.0,2.5,0.138,0.1,30.0,,,,,,,,
335.0,0.3,2.0,30.0,1.8,0.345,0.233,30.0,,,,,,,,
336.0,0.3,3.0,30.0,4.0,0.345,0.251,30.0,,,,,,,,
337.0,0.06,17.5,2.0,1.13,0.0245,0.045,32.0,,,,,,,,
338.0,0.12,14.2,1.4,1.74,0.0245,0.033,32.0,,,,,,,,
339.0,0.18,12.6,1.14,2.13,0.0245,0.035,32.0,,,,,,,,
340.0,0.36,10.2,0.8,3.5,0.0245,0.026,32.0,,,,,,,,
341.0,0.06,17.5,2.0,1.13,0.0245,0.055,32.0,,,,,,,,
342.0,0.12,14.2,1.48,1.22,0.0245,0.039,32.0,,,,,,,,
343.0,0.18,12.6,1.24,1.45,0.0245,0.034,32.0,,,,,,,,
344.0,0.36,10.2,0.917,2.17,0.0245,0.028,32.0,,,,,,,,
345.0,0.06,17.5,2.0,0.6,0.0245,0.062,32.0,,,,,,,,
346.0,0.12,14.2,1.464,0.7,0.0245,0.05,32.0,,,,,,,,
347.0,0.18,12.6,1.22,0.9,0.0245,0.034,32.0,,,,,,,,
348.0,0.36,10.2,0.893,1.8,0.0245,0.027,32.0,,,,,,,,
349.0,0.06,17.5,2.0,1.13,0.0245,0.043,32.0,,,,,,,,
350.0,0.12,14.2,1.511,1.37,0.0245,0.041,32.0,,,,,,,,
351.0,0.18,12.6,1.282,1.67,0.0245,0.032,32.0,,,,,,,,
352.0,0.36,10.2,0.968,2.91,0.0245,0.03,32.0,,,,,,,,
353.0,0.06,17.5,2.0,0.9,0.0245,0.037,32.0,,,,,,,,
354.0,0.12,14.2,1.558,1.05,0.0245,0.032,32.0,,,,,,,,
355.0,0.18,12.6,1.347,1.15,0.0245,0.028,32.0,,,,,,,,
356.0,0.36,10.2,1.049,1.4,0.0245,0.024,32.0,,,,,,,,
357.0,0.06,17.5,2.0,0.75,0.0245,0.028,32.0,,,,,,,,
358.0,0.12,14.2,1.694,1.15,0.0245,0.026,32.0,,,,,,,,
359.0,0.18,12.6,1.537,1.1,0.0245,0.024,32.0,,,,,,,,
360.0,0.36,10.2,1.301,1.2,0.0245,0.022,32.0,,,,,,,,
361.0,0.14,17.0,74.0,0.4,1940.0,4.334,39.0,,,,,,,,
362.0,0.14,20.9,74.0,0.5,970.0,4.702,39.0,,,,,,,,
